allbutt	albutt	10	64	71
alfonso	alphonso	5	138	39
arrowood	arwood	8	222	121
barnheart	barnhardt	5	23	204
beale	beal	146	1888	2003
chalcraft	chalcroft	12	126	54
chambless	chambliss	19	172	298
chandley	chanley	6	71	35
klock	clock	6	176	104
crowl	crowel	7	222	72
dungy	dungey	8	31	164
enright	enwright	24	642	89
fern	fearn	29	445	605
flanagan	flannagan	75	2544	379
flannigan	flannagan	19	429	379
faucher	foucher	14	220	97
furness	furniss	54	678	415
chiasson	giasson	10	210	66
hathorne	hathorn	8	74	164
hedgpeth	hedgepeth	6	69	182
holbourn	holborn	5	29	122
holtermann	holterman	5	21	37
horstmann	horstman	13	84	169
honeycutt	hunnicutt	24	784	316
keppler	keppeler	6	139	13
lipsky	lipski	5	72	68
lombardo	lombardi	19	438	424
longwell	longwill	5	133	30
liner	lyner	5	114	22
mcartney	macartney	6	66	129
marable	marrable	5	140	54
mauer	maurer	31	256	988
mcdevitt	mcdivitt	11	445	77
neimann	niemann	6	34	228
nieman	niemann	15	255	228
northrup	northrop	39	562	383
parrot	parrott	83	436	1719
rife	riffe	14	330	170
ripple	rippel	7	179	59
rivett	rivet	18	384	259
rivest	rivet	19	100	259
salzmann	salzman	11	72	163
sheetz	scheetz	8	217	106
spangenburg	spangenberg	6	24	133
speechly	speechley	8	44	124
styer	styers	6	89	97
stiers	styers	5	84	97
tims	timms	53	337	1180
virgo	virgoe	9	232	29
winsor	windsor	59	514	1820
witherell	witherall	5	169	68
ahern	ahearn	51	882	438
altimus	altemus	6	30	63
baines	bains	48	1675	269
bainton	baynton	6	93	156
bolton	boulton	151	4490	1553
chalice	challice	7	40	68
clewes	clowes	15	187	472
conyer	conyers	11	65	433
coots	cootes	10	208	102
eaves	eves	32	794	483
fawdrey	fawdry	5	21	66
gaffey	gaffy	6	96	20
grattan	gratten	6	189	24
greif	grief	7	85	96
holdich	holditch	5	35	24
hornung	horning	14	203	342
herd	hurd	56	776	1719
lefave	lafave	6	32	131
lazell	layzell	10	150	172
lindley	linley	42	1394	350
lines	lynes	34	1134	349
mattsson	matsson	10	242	106
mcloud	mccloud	25	166	838
mcfayden	mcfadyen	8	90	296
macfadyen	mcfadyen	12	71	296
mcquinn	mcquin	7	165	62
miron	migneron	5	160	67
mikkelsen	mikkelson	13	213	153
oiler	oyler	9	78	237
